,Date,pAgro,pConsump,pFincial,pIndus,pResourc,pService,pTech,pPropcon,oAgro,oConsump,oFincial,oIndus,oResourc,oService,oTech,oPropcon,hAgro,hConsump,hFincial,hIndus,hResourc,hService,hTech,hPropcon,lAgro,lConsump,lFincial,lIndus,lResourc,lService,lTech,lPropcon,c%Agro,c%Consump,c%Fincial,c%Indus,c%Resourc,c%Service,c%Tech,c%Propcon,vmAgro,vmConsump,vmFincial,vmIndus,vmResourc,vmService,vmTech,vmPropcon,pSET,oSET,hSET,lSET,c%SET,vmSET,pSTARK,oSTARK,hSTARK,lSTARK,c%STARK,vmSTARK,flucAgro,flucConsump,flucFincial,flucIndus,flucResourc,flucService,flucTech,flucPropcon,flucSTARK
0,06/30/2023,391.82,57.84,148.31,90.45,186.58,471.4,274.12,104.25,391.38,57.44,146.31,89.99,185.19,466.61,271.43,103.03,394.04,57.84,148.62,91.17,187.52,472.44,275.1,104.52,390.73,57.26,146.07,89.8,184.59,466.36,269.03,103.03,0.62%,1.08%,1.74%,1.40%,2.06%,1.54%,1.21%,1.76%,0.23667,0.04701,1.09,0.11826,0.69158,0.69941,0.39021,1.12,"1,503.10","1,488.86","1,506.19","1,487.74",1.59%,15290.0,0.02,0.02,0.03,0.02,0.00%,1140.0,0.85,1.01,1.75,1.53,1.59,1.3,2.26,1.45,50.0
1,06/29/2023,389.41,57.22,145.77,89.2,182.81,464.23,270.83,102.45,385.72,56.79,144.27,87.5,178.98,462.6,271.87,102.32,392.94,57.52,146.86,89.79,183.56,467.92,275.99,103.22,384.32,56.75,144.03,86.89,178.17,461.28,268.02,102.02,1.24%,0.60%,0.75%,2.08%,2.64%,0.40%,-0.53%,0.20%,0.21455,0.04637,1.62,0.13569,0.70054,0.76992,0.29647,0.55977,"1,479.57","1,468.00","1,490.71","1,461.61",0.86%,16070.0,0.02,0.02,0.03,0.01,0.00%,471.15,2.24,1.36,1.96,3.34,3.03,1.44,2.97,1.18,200.0
2,06/28/2023,384.65,56.88,144.68,87.38,178.1,462.37,272.27,102.25,387.25,57.83,147.41,88.27,179.27,467.44,276.43,102.9,387.93,57.89,147.51,88.68,180.38,467.88,277.39,103.27,383.19,56.82,144.59,87.13,177.16,461.72,271.45,102.23,-0.35%,-1.68%,-1.89%,-0.85%,-0.24%,-0.64%,-0.92%,-0.29%,0.2055,0.05034,1.27,0.13606,0.57923,0.77254,0.2798,0.57275,"1,466.93","1,483.32","1,485.89","1,465.45",-0.76%,14020.0,0.02,0.02,0.02,0.01,0.00%,225.76,1.24,1.88,2.02,1.78,1.82,1.33,2.19,1.02,100.0
3,06/27/2023,386.02,57.85,147.47,88.13,178.52,465.33,274.81,102.55,389.59,57.86,148.33,89.37,180.53,468.19,274.87,103.28,390.89,58.32,148.86,89.43,181.21,470.34,278.72,103.85,386.02,57.54,147.44,88.12,178.52,465.33,273.25,102.55,-0.89%,-0.22%,-0.43%,-1.07%,-1.01%,-0.65%,0.63%,-0.30%,0.235,0.06315,0.66051,0.08538,0.32152,0.56741,0.22904,0.47178,"1,478.10","1,488.17","1,495.67","1,478.10",-0.49%,11430.0,0.02,0.02,0.03,0.02,-33.33%,61.99,1.26,1.36,0.96,1.49,1.51,1.08,2.0,1.27,50.0
4,06/26/2023,389.5,57.98,148.1,89.08,180.35,468.38,273.1,102.86,397.2,59.81,149.53,91.4,183.14,471.21,278.81,103.6,397.61,59.81,149.84,91.75,183.92,472.89,279.46,103.97,389.5,57.78,147.7,89.02,179.81,467.3,272.32,102.78,-1.94%,-2.99%,-1.04%,-2.48%,-1.78%,-0.57%,-2.20%,-0.77%,0.23762,0.07938,1.02,0.11206,0.43817,0.69687,0.35466,0.80827,"1,485.32","1,504.27","1,507.63","1,483.92",-1.34%,12440.0,0.03,0.02,0.03,0.02,50.00%,162.59,2.08,3.51,1.45,3.07,2.29,1.2,2.62,1.16,50.0
5,06/23/2023,397.22,59.77,149.65,91.35,183.62,471.06,279.24,103.66,401.54,59.87,149.64,91.16,181.9,473.92,276.6,104.07,401.97,60.0,150.13,92.07,184.24,474.03,280.07,104.16,397.22,59.43,148.79,90.79,180.94,469.35,275.21,103.41,-1.35%,-0.68%,-0.07%,-0.16%,0.44%,-0.78%,0.45%,-0.79%,0.18115,0.05492,0.60322,0.07391,0.2914,0.73333,0.3412,0.53609,"1,505.52","1,504.50","1,510.42","1,495.82",-0.25%,11570.0,0.02,0.02,0.03,0.02,-33.33%,524.19,1.2,0.96,0.9,1.41,1.82,1.0,1.77,0.73,50.0
6,06/22/2023,402.65,60.18,149.76,91.5,182.82,474.78,277.98,104.49,406.64,60.88,150.93,92.0,185.23,478.21,282.95,105.02,406.94,60.96,151.31,92.32,185.78,478.6,283.04,105.15,400.86,60.0,149.59,91.06,181.71,473.2,276.37,104.16,-0.96%,-1.00%,-0.93%,-0.57%,-1.05%,-0.68%,-1.19%,-0.31%,0.16749,0.12959,0.57043,0.11728,0.46252,0.66006,0.64183,0.77494,"1,509.31","1,524.35","1,525.26","1,506.09",-0.84%,13500.0,0.03,0.03,0.03,0.02,0.00%,226.09,1.52,1.6,1.15,1.38,2.24,1.14,2.41,0.95,50.0
7,06/21/2023,406.56,60.79,151.17,92.02,184.76,478.05,281.32,104.81,411.1,61.69,151.27,93.71,187.17,481.46,280.45,106.6,411.26,61.89,151.74,93.82,187.55,482.31,283.41,106.87,405.06,60.79,150.66,91.69,184.13,475.98,277.39,104.81,-1.09%,-1.54%,-0.14%,-2.18%,-1.34%,-0.75%,-0.65%,-2.08%,0.26212,0.04646,0.82424,0.13208,0.40691,0.61177,0.28501,0.69006,"1,522.12","1,533.87","1,534.73","1,517.51",-1.01%,13170.0,0.03,0.01,0.03,0.01,0.00%,1160.0,1.53,1.81,0.72,2.32,1.86,1.33,2.17,1.97,200.0
8,06/20/2023,411.04,61.74,151.38,94.07,187.26,481.68,283.15,107.04,414.32,61.89,152.64,93.85,187.3,483.31,287.77,107.07,414.56,62.04,153.58,94.74,188.82,485.01,291.7,107.53,411.04,61.44,151.12,93.43,186.56,480.23,276.74,106.8,-0.50%,-0.15%,-0.42%,0.70%,0.41%,0.15%,-8.37%,0.52%,0.22082,0.03734,1.24,0.13086,0.42803,0.63162,0.28512,0.60441,"1,537.59","1,545.43","1,550.46","1,532.96",-1.24%,15250.0,0.03,0.03,0.04,0.03,-40.00%,70.65,0.86,0.98,1.63,1.4,1.21,1.0,5.41,0.68,33.33
9,06/19/2023,413.1,61.83,152.02,93.42,186.5,480.98,309.02,106.49,414.26,61.76,152.13,93.46,187.81,482.62,301.53,106.5,414.68,62.19,152.53,94.1,188.23,483.57,312.0,107.22,412.51,61.55,151.27,93.1,186.26,480.66,300.52,106.14,-0.43%,-0.26%,-0.31%,-0.11%,-1.01%,-0.52%,2.31%,-0.94%,0.2233,0.03816,0.52803,0.09235,0.3054,0.49889,0.26713,0.58994,"1,556.92","1,554.81","1,562.36","1,550.75",-0.16%,12120.0,0.05,0.05,0.06,0.05,-37.50%,71.37,0.53,1.04,0.83,1.07,1.06,0.61,3.82,1.02,20.0
